cholesterol_level,population_perc
50,0.0
55,0.0
60,0.1287
65,0.0
70,0.1287
75,0.0
80,0.0
85,0.2574
90,0.1287
95,0.2574
100,0.2574
105,0.9009
110,0.6435
115,1.287
120,1.1583
125,1.6731
130,1.1583
135,1.6731
140,1.8018
145,3.7323
150,2.3166
155,3.7323
160,4.1184
165,3.7323
170,4.8906
175,4.6332
180,4.5045
185,4.1184
190,4.5045
195,5.0193
200,4.5045
205,4.7619
210,3.3462
215,3.6036
220,2.9601
225,2.574
230,2.7027
235,2.7027
240,2.4453
245,1.9305
250,2.1879
255,1.8018
260,2.7027
265,0.6435
270,0.5148
275,0.5148
280,0.5148
285,0.6435
290,0.0
295,0.1287
300,0.2574
305,0.1287
310,0.2574
315,0.2574
320,0.0
325,0.1287
330,0.0
335,0.2574
340,0.2574
345,0.0
350,0.0
355,0.0
360,0.1287
365,0.0
370,0.0
375,0.1287
380,0.0
385,0.0
390,0.2574
395,0.0
